Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
LABE,B:BGRAS1X02:05,8/24/08 15:37,"Lee, Landgrebe, Rehlaender, Merideth",,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:05,6/22/09 11:59,,,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:05,5/27/10 9:00,,,8,01Yr02,Re01Year02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:05,5/29/13 9:10,,,9,01Yr05,01Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,,,,,,,Gillem,,Shrubland,,,620325,4630932,,NAD 83 Zone 10T,0,0,4/21/04,,,4065,feet,214,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0","Brush belt is 5 m. Plot burned 8/08 in Jack wildfire, no longer a control plot.",Subsample comments:  shrb30p_1 m Belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:06,7/5/89,,From FMH 1029 ,0,00Pro1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,7/5/91,,From FMH 1029 ,1,00Pro2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,5/14/04,,From FMH 1029 previously plot BCHNA1T0503,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,6/8/05 9:03,"PLUM, JUDU",,3,00Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,6/17/06 14:09,"DuBose, Frenzen, Minniti",,4,00Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,8/24/08 15:38,"Smith, Merideth",,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,6/22/09 6:28,,,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,5/26/10 14:13,Erdody  Stevens  Williams,,8,01Yr02,Re01Year02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:06,5/29/13 7:29,,,9,01Yr05,01Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,,,,,,,Indian Well,,Shrubland,,,625181,4618705,,NAD 83 Zone 10T,0,0,8/21/91,,,4640,feet,144,315,13,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:07,8/21/91,,From FMH 1029 previously plot BPSSP1D0207,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,11/7/94,,From FMH 1029 ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,6/2/95,,From FMH 1029 ,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,6/12/96,,From FMH 1029 ,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,6/29/99,,From FMH 1029                                                                  ,9,01Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,7/19/08 14:12,"Rehlaender, Lee, Landgrebe",,10,01Yr14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,5/14/14 13:27,,,12,01Yr20,01Yr20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:07,6/24/16 19:02,,,13,01Yr22,01Yr22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,,,,,,,Indian Well,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,8/23/91,,,4680,feet,107,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:08,8/23/91,,From FMH 1029 previously plot BPSSP1D0208,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,11/7/94,,From FMH 1029 ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,6/4/95,,From FMH 1029 ,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,6/11/96,,From FMH 1029 ,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,7/1/99,,From FMH 1029                                                                  ,9,01Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,6/7/10 14:53,TOER  MAWI  ANST,,11,01Yr16,Re01year16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,5/12/14 14:23,,,12,01Yr20,01Yr20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:08,6/23/16 19:21,,,15,02Yr01,02Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,,,,,,,Indian Well,,Shrubland,,,624688,4619221,,NAD 83 Zone 10T,0,0,9/26/91,,,4640,feet,313,45,7,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:09,9/26/91,,From FMH 1029 previously plot BPSSP1D0209,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,11/7/94,,From FMH 1029 ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,6/4/95,,From FMH 1029 ,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,6/12/96,,From FMH 1029 ,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,6/29/99,,From FMH 1029                                                                  ,9,01Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,7/19/08 14:43,,,10,01Yr14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,5/14/14 14:39,,,12,01Yr20,01Yr20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:09,6/23/16 19:39,,,15,02Yr01,02Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:10,,,,,,,Indian Well,,Shrubland,,,625198,4618733,,NAD 83 Zone 10T,0,0,7/26/92,,,4630,feet,80,270,6,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:10,7/26/92,,From FMH 1029 previously plot BPSSP1D0210,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:10,11/7/94,,From FMH 1029 ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:10,6/2/95,,From FMH 1029 ,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:10,6/12/96,,From FMH 1029 ,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:10,6/29/99,,From FMH 1029                                                                  ,9,01Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
