ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 07,***,***,***,***,***,***,***,***,***,***,0.64,***,***,0.18,***,***,0.30,***,***,0.15,***,***,0.39,***,***,0.25,***,***,***,***,***,0.20,***,***,0.08,***,***,0.15,***,***,0.21,***,***,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 08,***,***,***,***,***,***,***,***,***,***,0.47,***,***,0.37,***,***,0.32,***,***,0.30,***,***,0.28,***,***,0.43,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 10,***,***,***,***,***,***,***,***,***,***,1.71,***,***,0.89,***,***,0.56,***,***,0.54,***,***,0.42,***,***,0.35,***,***,2.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 12,***,***,***,***,***,***,***,***,***,***,0.60,***,***,0.80,***,***,0.42,***,***,0.71,***,***,***,***,***,***,***,***,***,***,***,0.38,***,***,0.81,***,***,0.58,***,***,0.73,***,***,1.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 21,***,***,***,***,***,***,***,***,***,***,0.75,***,***,0.06,***,***,0.04,***,***,0.06,***,***,0.10,***,***,0.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 22,***,***,***,***,***,***,***,***,***,***,0.33,***,***,0.26,***,***,0.63,***,***,0.31,***,***,0.19,***,***,0.42,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 24,***,***,***,***,***,***,***,***,***,***,0.42,***,***,0.22,***,***,0.09,***,***,0.11,***,***,0.33,***,***,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 25,***,***,***,***,***,***,***,***,***,***,0.72,***,***,0.43,***,***,0.40,***,***,0.17,***,***,0.71,***,***,0.50,***,***,***,***,***,0.04,***,***,0.11,***,***,0.10,***,***,0.16,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 01,***,***,***,***,***,***,***,***,***,***,0.51,***,***,0.55,***,***,0.11,***,***,0.55,***,***,0.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 02,***,***,***,***,***,***,***,***,***,***,0.36,***,***,0.38,***,***,0.18,***,***,0.15,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 03,***,***,***,***,***,***,***,***,***,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 04,***,***,***,***,***,***,***,***,***,***,0.62,***,***,0.50,***,***,0.20,***,***,0.45,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 05,***,***,***,***,***,***,***,***,***,***,0.21,***,***,0.22,***,***,0.09,***,***,0.16,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 06,***,***,***,***,***,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 07,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.17,***,***,0.03,***,***,0.09,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 08,***,***,***,***,***,***,***,***,***,***,0.30,***,***,0.15,***,***,0.32,***,***,0.12,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 09,***,***,***,***,***,***,***,***,***,***,0.17,***,***,0.15,***,***,0.14,***,***,0.12,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
