ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 01,***,***,***,***,***,***,***,***,***,***,15.47,***,***,0.00,***,***,0.99,***,***,0.00,***,***,6.17,***,***,4.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 07,***,***,***,***,***,***,***,***,***,***,25.54,***,***,9.10,***,***,9.09,***,***,15.28,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,2.51,***,***,4.79,***,***,13.71,***,***,16.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 08,***,***,***,***,***,***,***,***,***,***,4.73,***,***,0.00,***,***,0.00,***,***,4.84,***,***,4.93,***,***,2.79,***,***,16.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 10,***,***,***,***,***,***,***,***,***,***,0.98,***,***,1.75,***,***,1.62,***,***,1.26,***,***,0.98,***,***,4.28,***,***,56.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 12,***,***,***,***,***,***,***,***,***,***,5.09,***,***,1.96,***,***,3.01,***,***,1.26,***,***,***,***,***,***,***,***,***,***,***,1.75,***,***,2.11,***,***,0.00,***,***,3.70,***,***,5.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 21,***,***,***,***,***,***,***,***,***,***,6.90,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 22,***,***,***,***,***,***,***,***,***,***,0.93,***,***,0.00,***,***,0.00,***,***,0.00,***,***,2.43,***,***,2.31,***,***,6.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 24,***,***,***,***,***,***,***,***,***,***,2.71,***,***,0.00,***,***,0.00,***,***,0.00,***,***,4.12,***,***,8.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 25,***,***,***,***,***,***,***,***,***,***,3.22,***,***,1.16,***,***,2.84,***,***,4.17,***,***,0.00,***,***,0.28,***,***,***,***,***,0.00,***,***,0.28,***,***,0.00,***,***,0.17,***,***,6.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 01,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 02,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.06,***,***,0.00,***,***,1.74,***,***,0.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 03,***,***,***,***,***,***,***,***,***,***,3.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 04,***,***,***,***,***,***,***,***,***,***,2.31,***,***,0.00,***,***,0.00,***,***,0.63,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 05,***,***,***,***,***,***,***,***,***,***,1.42,***,***,0.00,***,***,0.00,***,***,1.09,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 06,***,***,***,***,***,***,***,***,***,***,2.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 07,***,***,***,***,***,***,***,***,***,***,0.59,***,***,0.63,***,***,5.17,***,***,0.26,***,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 08,***,***,***,***,***,***,***,***,***,***,3.00,***,***,0.87,***,***,0.31,***,***,2.17,***,***,1.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 09,***,***,***,***,***,***,***,***,***,***,0.44,***,***,0.00,***,***,0.00,***,***,0.33,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
