ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 08,***,***,***,***,***,***,***,***,***,***,3.47,***,***,9.51,***,***,7.03,***,***,2.75,***,***,20.31,***,***,21.30,***,***,4.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 10,***,***,***,***,***,***,***,***,***,***,0.27,***,***,6.09,***,***,6.11,***,***,9.76,***,***,44.28,***,***,72.73,***,***,16.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 12,***,***,***,***,***,***,***,***,***,***,0.66,***,***,2.54,***,***,6.45,***,***,5.70,***,***,***,***,***,***,***,***,***,***,***,5.49,***,***,7.42,***,***,7.38,***,***,5.04,***,***,3.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 21,***,***,***,***,***,***,***,***,***,***,3.41,***,***,4.55,***,***,8.52,***,***,7.25,***,***,12.39,***,***,22.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 22,***,***,***,***,***,***,***,***,***,***,9.19,***,***,7.26,***,***,9.32,***,***,6.03,***,***,5.85,***,***,8.74,***,***,3.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 24,***,***,***,***,***,***,***,***,***,***,10.01,***,***,8.11,***,***,5.71,***,***,5.94,***,***,0.35,***,***,4.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 25,***,***,***,***,***,***,***,***,***,***,7.12,***,***,4.66,***,***,3.38,***,***,3.72,***,***,17.29,***,***,16.10,***,***,***,***,***,2.52,***,***,3.27,***,***,3.22,***,***,7.83,***,***,11.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 01,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.31,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 02,***,***,***,***,***,***,***,***,***,***,0.38,***,***,0.64,***,***,2.46,***,***,1.16,***,***,3.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 03,***,***,***,***,***,***,***,***,***,***,2.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 04,***,***,***,***,***,***,***,***,***,***,0.26,***,***,2.24,***,***,0.24,***,***,0.00,***,***,2.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 05,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.20,***,***,0.00,***,***,1.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 06,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 07,***,***,***,***,***,***,***,***,***,***,9.53,***,***,8.68,***,***,2.45,***,***,17.86,***,***,7.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 08,***,***,***,***,***,***,***,***,***,***,3.91,***,***,2.46,***,***,3.13,***,***,3.37,***,***,4.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 09,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.11,***,***,0.00,***,***,0.00,***,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 10,***,***,***,***,***,***,***,***,***,***,2.59,***,***,5.30,***,***,2.66,***,***,24.48,***,***,4.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 11,***,***,***,***,***,***,***,***,***,***,0.92,***,***,0.62,***,***,0.00,***,***,0.81,***,***,1.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
